bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
111,0.23750000000000004,0.25,[2.410754447842198815183750301871830301047377642 +/- 7.89e-46],2.4107544478421987,True,1292,50,290,330,24,21,[300.000868657274589876814387494 +/- 2.57e-28]
112,0.25,0.2625000000000002,[2.39828617146094492241203495050131124516711415 +/- 2.21e-45],2.398286171460945,True,1306,48,291,338,24,20,[298.119115363377489970363785639 +/- 2.75e-28]
113,0.2625000000000002,0.27500000000000013,[2.386163554368429709672392346035714978977090456 +/- 7.23e-46],2.3861635543684296,True,1306,48,288,341,24,20,[296.632977783092275826521397340 +/- 5.13e-30]
114,0.27500000000000013,0.2875000000000001,[2.374378121415118232233085282252838548792727976 +/- 9.05e-46],2.374378121415118,True,1304,50,285,341,24,20,[295.111300486593222077904725195 +/- 2.65e-28]
115,0.2875000000000001,0.30000000000000004,[2.36292223816286777320614956473147259805113531 +/- 3.03e-45],2.362922238162868,True,1299,48,285,341,24,20,[293.751858283773787899805950589 +/- 4.45e-28]
116,0.30000000000000004,0.3125,[2.35178691394453444926672154365168642777753418 +/- 3.27e-45],2.3517869139445344,True,1311,48,289,343,24,20,[292.254231105127977892911471376 +/- 3.54e-29]
117,0.3125,0.3250000000000002,[2.34096481121665021697638686387662079136517498 +/- 1.28e-45],2.3409648112166503,True,1345,48,301,348,24,20,[291.167602920917259559120662855 +/- 4.15e-28]
118,0.3250000000000002,0.33750000000000013,[2.330142696739329115648049723677810138623538389 +/- 7.96e-46],2.3301426967393293,True,1277,44,255,362,22,19,[266.188101224409483994872007762 +/- 9.82e-29]
119,0.33750000000000013,0.3500000000000001,[2.31940963419752091034268604329147891274699740 +/- 1.04e-45],2.319409634197521,True,1227,44,248,344,22,19,[265.802966761371899120384906481 +/- 1.51e-28]
120,0.3500000000000001,0.36250000000000004,[2.308900045957596512732535261805086747230317835 +/- 9.06e-46],2.3089000459575963,True,1213,44,240,345,22,19,[265.294001264241495209280855778 +/- 2.75e-29]
121,0.36250000000000004,0.375,[2.298572449573412178064228361226248344366248256 +/- 7.72e-46],2.2985724495734123,True,1161,40,225,336,20,19,[265.333078911602267162557488451 +/- 4.33e-28]
122,0.375,0.3875000000000002,[2.288251492677732389037907560357538006230270868 +/- 6.39e-46],2.288251492677732,True,1141,40,221,330,20,19,[258.818507995782293755403383516 +/- 2.75e-29]
